Measured:	Estimated:			Updated:
[156  53]	[ 149.5475998    51.08346325]	[ 148.12838142   52.33228047]
[156  54]	[ 149.70021063   51.12874168]	[ 148.2751604   52.3991447]
[156  54]	[ 149.84828762   51.196197  ]	[ 148.41766014   52.46406069]
[156  54]	[ 149.99204013   51.26168349]	[ 148.55602944   52.52709614]
[156  54]	[ 150.1316188    51.32526969]	[ 148.69041111   52.58831602]
[157  55]	[ 150.26716819   51.38702138]	[ 148.84368671   52.67054717]
[157  55]	[ 150.42176788   51.46996276]	[ 148.99259622   52.75043659]
[157  55]	[ 150.5719564    51.55053825]	[ 149.137288     52.82806384]
[157  55]	[ 150.71788388   51.62882835]	[ 149.27790456   52.90350534]
[158  56]	[ 150.85969456   51.70491038]	[ 149.43682245   52.9990928 ]
[158  56]	[ 151.01995427   51.8013049 ]	[ 149.5913149   53.0920186]
[158  56]	[ 151.17574387   51.89501088]	[ 149.74152894   53.18237115]
[158  56]	[ 151.32721211   51.98611779]	[ 149.88760593   53.27023547]
[158  56]	[ 151.47450202   52.07471165]	[ 150.02968182   53.35569332]
[159  56]	[ 151.61775112   52.16087515]	[ 150.18956552   53.43881883]
[159  56]	[ 151.77894799   52.24468326]	[ 150.3451166    53.51969244]
[159  56]	[ 151.93576971   52.32621737]	[ 150.49647516   53.59838694]
[159  56]	[ 152.08835796   52.40555109]	[ 150.64377606   53.6749724 ]
[159  56]	[ 152.23684914   52.4827553 ]	[ 150.7871491    53.74951627]
[160  57]	[ 152.38137452   52.55789819]	[ 150.94778946   53.84316962]
[160  57]	[ 152.54329902   52.65230014]	[ 151.10419195   53.93435258]
[160  57]	[ 152.70094515   52.74420809]	[ 151.25649001   54.02314291]
[160  57]	[ 152.85444783   52.83370067]	[ 151.4048122    54.10961555]
[161  57]	[ 153.00393704   52.92085364]	[ 151.56995242   54.19383875]
[161  57]	[ 153.17036995   53.005736  ]	[ 151.73082541   54.27588629]
[161  57]	[ 153.33249569   53.08842233]	[ 151.8875628    54.35582523]
[161  57]	[ 153.49044731   53.16898044]	[ 152.04029148   54.43372028]
[161  57]	[ 153.6443531    53.24747572]	[ 152.18913384   54.50963379]
[161  58]	[ 153.79433676   53.32397122]	[ 152.33417635   54.60376146]
[161  58]	[ 153.9404856    53.41881688]	[ 152.4755662    54.69551856]
[161  58]	[ 154.08294847   53.51127034]	[ 152.61341321   54.78497635]
[161  58]	[ 154.22183634   53.60140363]	[ 152.74782336   54.87220361]
[161  58]	[ 154.35725632   53.68928626]	[ 152.87889893   54.95726675]
[162  58]	[ 154.48931177   53.77498532]	[ 153.02639316   55.04022644]
[162  58]	[ 154.63790324   53.8585621 ]	[ 153.17026359   55.12114817]
[162  58]	[ 154.78283868   53.94008281]	[ 153.31061651   55.20009174]
[162  58]	[ 154.92422548   54.01960784]	[ 153.44755462   55.27711487]
[162  59]	[ 155.06216738   54.09719551]	[ 153.58114929   55.37153669]
[162  59]	[ 155.19673642   54.19230607]	[ 153.71152565   55.46368349]
[162  59]	[ 155.32805909   54.28512176]	[ 153.83877628   55.55362072]
[162  59]	[ 155.45622889   54.3757087 ]	[ 153.96299065   55.64141166]
[162  59]	[ 155.5813362   54.4641308]	[ 154.08425527   55.72711745]
[163  60]	[ 155.7034684    54.55044984]	[ 154.22144994   55.82960487]
[163  60]	[ 155.84163992   54.65366709]	[ 154.35541744   55.92968095]
[163  60]	[ 155.97655679   54.75445247]	[ 154.48624843   56.02741343]
[163  60]	[ 156.10831057   54.85287439]	[ 154.6140306    56.12286787]
[163  60]	[ 156.23698981   54.94899904]	[ 154.73884881   56.21610768]
[164  60]	[ 156.36268019   55.04289046]	[ 154.87917465   56.30719135]
[164  60]	[ 156.50398212   55.13460771]	[ 155.01627497   56.39618129]
[164  60]	[ 156.64203169   55.22421381]	[ 155.15023832   56.48313497]
[164  60]	[ 156.77691831   55.31176679]	[ 155.28115043   56.56810805]
[164  61]	[ 156.90872853   55.39732283]	[ 155.40907116   56.66920166]
[164  61]	[ 157.03752275   55.49910687]	[ 155.53410517   56.76801326]
[164  61]	[ 157.16340667   55.59859025]	[ 155.65633026   56.86460436]
[164  61]	[ 157.28645882   55.69583508]	[ 155.77582181   56.95903459]
[164  61]	[ 157.40675531   55.79090154]	[ 155.89265282   57.05136168]
[165  61]	[ 157.52436982   55.88384791]	[ 156.02455296   57.14163901]
[165  61]	[ 157.65715066   55.97472807]	[ 156.15354174   57.2299235 ]
[165  61]	[ 157.7869969    56.06359947]	[ 156.27969594   57.31626771]
