Measured:	Estimated:			Updated:
[147  42]	[ 147.37020062   41.04014632]	[ 146.76928867   42.07378252]
[147  42]	[ 147.32856009   41.10425112]	[ 146.73397427   42.13119125]
[147  42]	[ 147.2921143    41.16314085]	[ 146.70298431   42.18402529]
[148  41]	[ 147.26014731   41.21731541]	[ 146.7553429    42.16940582]
[148  41]	[ 147.31390907   41.20231683]	[ 146.80300764   42.15603296]
[148  41]	[ 147.36282831   41.18860316]	[ 146.84647927   42.14377956]
[148  41]	[ 147.40742395   41.17604276]	[ 146.88619672   42.1325336 ]
[147  42]	[ 147.44815062   41.16451972]	[ 146.84953183   42.18191966]
[147  42]	[ 147.41048066   41.21506707]	[ 146.81653744   42.227674  ]
[147  42]	[ 147.3765966    41.26188105]	[ 146.78679078   42.27011091]
[147  42]	[ 147.34606079   41.30528616]	[ 146.75992377   42.3095134 ]
[147  42]	[ 147.31849236   41.34557445]	[ 146.73561516   42.34613672]
[148  41]	[ 147.29355906   41.38300921]	[ 146.77981702   42.32444898]
[148  41]	[ 147.33879485   41.36084164]	[ 146.82052271   42.30429979]
[148  41]	[ 147.38043788   41.34025311]	[ 146.85806095   42.28555977]
[148  41]	[ 147.41882728   41.3211103 ]	[ 146.89272481   42.26811212]
[147  41]	[ 147.45426528   41.30329289]	[ 146.86975783   42.25269324]
[147  41]	[ 147.43083407   41.28756084]	[ 146.84821524   42.2382374 ]
[147  41]	[ 147.40886151   41.27281513]	[ 146.8279949    42.22467495]
[147  41]	[ 147.38824259   41.25898412]	[ 146.80900289   42.21194186]
[148  40]	[ 147.36888083   41.24600204]	[ 146.84892906   42.14959658]
[148  40]	[ 147.40968948   41.1824335 ]	[ 146.88570373   42.09113308]
[148  40]	[ 147.44726562   41.12283745]	[ 146.91961845   42.03626676]
[148  40]	[ 147.48190928   41.06692155]	[ 146.95093408   41.98473693]
[148  40]	[ 147.51388881   41.01441816]	[ 146.9798844    41.93630459]
[147  42]	[ 147.54344462   40.96508196]	[ 146.94851441   41.98518579]
[147  42]	[ 147.51143198   41.01486468]	[ 146.91941554   42.03119257]
[147  42]	[ 147.48174484   41.06170985]	[ 146.89239391   42.07452419]
[147  42]	[ 147.45418405   41.10582179]	[ 146.86727456   42.11536405]
[148  41]	[ 147.42856995   41.14738852]	[ 146.89452627   42.10846548]
[148  41]	[ 147.45631672   41.14036624]	[ 146.92014276   42.10197261]
[148  41]	[ 147.48239295   41.13375831]	[ 146.94424085   42.09585705]
[148  41]	[ 147.50691838   41.12753563]	[ 146.96692771   42.09009268]
[147  42]	[ 147.5300028    41.12167147]	[ 146.94028654   42.12815548]
[147  42]	[ 147.5028752    41.16037475]	[ 146.91533354   42.16416277]
[147  42]	[ 147.47747207   41.1969813 ]	[ 146.89194163   42.19824564]
[147  42]	[ 147.4536632    41.23162527]	[ 146.86999472   42.23052559]
[147  42]	[ 147.43132968   41.26443094]	[ 146.84938669   42.26111527]
[148  41]	[ 147.41036284   41.29551354]	[ 146.87514493   42.24880421]
[148  41]	[ 147.43654656   41.28300486]	[ 146.89948614   42.2371345 ]
[148  41]	[ 147.46128541   41.27114979]	[ 146.92250328   42.22606651]
[148  41]	[ 147.48467447   41.25990783]	[ 146.94428225   42.21556343]
[147  41]	[ 147.50680157   41.24924136]	[ 146.92437392   42.20589338]
[147  41]	[ 147.48659001   41.23942509]	[ 146.90543855   42.19668827]
[147  41]	[ 147.46736907   41.23008214]	[ 146.88742004   42.18792185]
[147  41]	[ 147.44908149   41.22118572]	[ 146.87026601   42.17956958]
[147  41]	[ 147.43167378   41.21271077]	[ 146.85392751   42.17160846]
[148  41]	[ 147.41509597   41.20463382]	[ 146.87693538   42.16375973]
[148  41]	[ 147.43844753   41.19666969]	[ 146.89880587   42.15628791]
[148  41]	[ 147.46064146   41.18908909]	[ 146.91960601   42.14917148]
[148  41]	[ 147.48174619   41.18187005]	[ 146.93939823   42.14239036]
[148  41]	[ 147.50182542   41.17499207]	[ 146.95824077   42.13592577]
[148  41]	[ 147.52093856   41.16843601]	[ 146.97618796   42.12976013]
[148  41]	[ 147.53914103   41.16218395]	[ 146.99329052   42.12387701]
[148  41]	[ 147.55648456   41.15621913]	[ 147.00959585   42.11826103]
[148  41]	[ 147.57301747   41.15052586]	[ 147.02514826   42.11289775]
[148  41]	[ 147.58878494   41.14508946]	[ 147.0399892    42.10777367]
[148  41]	[ 147.60382921   41.13989612]	[ 147.05415749   42.10287608]
[148  41]	[ 147.61818985   41.13493295]	[ 147.06768949   42.0981931 ]
[147  41]	[ 147.6319039   41.1301878]	[ 147.04603971   42.09389433]
[147  41]	[ 147.60996992   41.12583391]	[ 147.02531716   42.08977123]
[147  41]	[ 147.58897769   41.12165837]	[ 147.00547467   42.08581535]
[147  41]	[ 147.56887918   41.1176526 ]	[ 146.98646784   42.08201874]
[147  41]	[ 147.5496292   41.1138085]	[ 146.96825486   42.07837387]
